№;L;Ef
1;2.2;8.4
2;3.5;10.8
3;5.5;18
4;6;24
5;9.7;25.2
6;7.7;31.2
7;11.3;36
8;8.2;36
9;6.5;42
10;8;42
11;20;48
12;10;48
13;15;48
14;10.4;50
15;13;60
16;14;60
17;19.7;60
18;32.5;60
19;31.5;60
20;12.5;62
21;15.4;70
22;20;72
23;7.5;72
24;16.3;82
25;15;90
26;11.4;98.8
27;21;107
28;16;114
29;25.9;117.6
30;24.6;117.6
31;29.5;120
32;19.3;155
33;32.6;170
34;35.5;192
35;38;210
36;48.5;239
37;47.5;252
38;70;278
39;66.6;300
40;66.6;352.8
41;50;370
42;79;400
43;90;450
44;78;571.4
45;100;215
46;150;324
47;100;360
48;100;360
49;190;420
50;115.8;480
51;101;750
52;161.1;815
53;284.7;973
54;227;1181
55;177.9;1228
56;282.1;1368
57;219;2120
58;423;2300
59;302;2400
50;370;3240
